證券代號,證券名稱,外陸資買進股數(不含外資自營商),外陸資賣出股數(不含外資自營商),外陸資買賣超股數(不含外資自營商),外資自營商買進股數,外資自營商賣出股數,外資自營商買賣超股數,投信買進股數,投信賣出股數,投信買賣超股數,自營商買賣超股數,自營商買進股數(自行買賣),自營商賣出股數(自行買賣),自營商買賣超股數(自行買賣),自營商買進股數(避險),自營商賣出股數(避險),自營商買賣超股數(避險),三大法人買賣超股數
1240,茂生農經,"10,000","1,000","9,000",0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,"9,000"
1264,德麥,"3,000","3,000",0,0.0,0.0,0.0,0,0,0,"-1,000",0,"1,000","-1,000",0,0,0,"-1,000"
1294,漢田生技,0,"2,000","-2,000",0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,"-2,000"
1336,台翰,"207,000","248,000","-41,000",0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,"-41,000"
1565,精華,"17,000","17,000",0,0.0,0.0,0.0,0,0,0,"1,011",394,0,394,618,1,617,"1,011"
1569,濱川,"2,026,000","1,701,000","325,000",0.0,0.0,0.0,0,0,0,"58,327",0,0,0,"62,672","4,345","58,327","383,327"
1570,力肯,"14,000","19,000","-5,000",0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,"-5,000"
1580,新麥,"5,000","6,000","-1,000",0.0,0.0,0.0,0,0,0,"-6,301",0,"6,000","-6,000",0,301,-301,"-7,301"
1584,精剛,"1,289,251","1,657,000","-367,749",0.0,0.0,0.0,0,0,0,"89,735",0,"80,000","-80,000","171,562","1,827","169,735","-278,014"
1586,和勤,"3,000","11,000","-8,000",0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,"-8,000"
1591,駿吉-KY,"58,000","25,000","33,000",0.0,0.0,0.0,0,0,0,-75,0,0,0,0,75,-75,"32,925"
1593,祺驊,"1,000","1,000",0,0.0,0.0,0.0,0,0,0,15,0,0,0,15,0,15,15
1595,川寶,"15,000","22,000","-7,000",0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,"-7,000"
1599,宏佳騰,"4,000","1,000","3,000",0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,"3,000"
1777,生泰,"35,000","1,000","34,000",0.0,0.0,0.0,0,0,0,"-10,616",0,"9,000","-9,000",384,"2,000","-1,616","23,384"
1781,合世,0,0,0,0.0,0.0,0.0,0,0,0,-98,0,0,0,0,98,-98,-98
1784,訊聯,"163,000","100,000","63,000",0.0,0.0,0.0,0,0,0,"1,184",0,0,0,"2,361","1,177","1,184","64,184"
1785,光洋科,"1,109,000","966,000","143,000",0.0,0.0,0.0,0,0,0,"-18,537","27,388","28,025",-637,"1,046","18,946","-17,900","124,463"
1788,杏昌,"2,000","1,000","1,000",0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,"1,000"
1796,金穎生技,"5,000",0,"5,000",0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,"5,000"
1799,易威,"39,000","42,000","-3,000",0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,"-3,000"
1813,寶利徠,0,"2,000","-2,000",0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,"-2,000"
1815,富喬,"7,760,000","13,443,000","-5,683,000",0.0,0.0,0.0,0,"213,000","-213,000","-464,884","211,000","371,000","-160,000","416,850","721,734","-304,884","-6,360,884"
02001B,統一美國政府債N,0,0,0,0.0,0.0,0.0,0,0,0,"-7,000",0,0,0,0,"7,000","-7,000","-7,000"
2061,風青,"68,000","29,000","39,000",0.0,0.0,0.0,0,0,0,"-20,000",0,"20,000","-20,000",0,0,0,"19,000"
2063,世鎧,"3,000","7,000","-4,000",0.0,0.0,0.0,0,0,0,-66,0,0,0,0,66,-66,"-4,066"
2064,晉椿,0,"17,000","-17,000",0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,"-17,000"
2065,世豐,"4,001","143,000","-138,999",0.0,0.0,0.0,0,0,0,214,0,0,0,"3,000","2,786",214,"-138,785"
2066,世德,"96,000","137,000","-41,000",0.0,0.0,0.0,0,0,0,"-3,978",0,4,-4,29,"4,003","-3,974","-44,978"
2070,精湛,"54,000","36,000","18,000",0.0,0.0,0.0,0,0,0,-461,0,0,0,0,461,-461,"17,539"
2221,大甲,0,"1,000","-1,000",0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,"-1,000"
2230,泰茂,"4,000","93,000","-89,000",0.0,0.0,0.0,0,0,0,"-3,692",0,0,0,48,"3,740","-3,692","-92,692"
2596,綠意,"1,000","5,000","-4,000",0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,"-4,000"
2640,大車隊,"7,000","2,000","5,000",0.0,0.0,0.0,0,0,0,"-7,000",0,"7,000","-7,000",0,0,0,"-2,000"
2641,正德,"875,001","1,104,000","-228,999",0.0,0.0,0.0,0,0,0,"-9,572",0,"68,000","-68,000","86,807","28,379","58,428","-238,571"
